E,I,EI,slope
0.029342111,1.662719604,-1.753327667,-2.414441752
0.03,1.7,-1.753327667,-2.361224829
0.02934233,1.672526839,-1.755878499,-2.249474724
0.022489251,1.386249928,-1.789866552,-2.024653464
0.007520749,0.760963667,-2.005102808,-1.821548338
0.014702423,0.478256604,-1.512272049,-1.55188971
0.160290242,0.487982114,-0.483496819,-1.4865418
0.479719758,0.569231481,-0.074301305,-1.621846739
0.029342111,1.662719604,-1.753327667,-2.382982071
0.03,1.7,-1.753327667,-2.296526309
0.02934233,1.672526839,-1.755878499,-2.122893707
0.022489251,1.386249928,-1.789866552,-1.882511223
0.007520749,0.760963667,-2.005102808,-1.650481622
0.014702423,0.478256604,-1.512272049,-1.52227806
0.160290242,0.487982114,-0.483496819,-1.522275017
0.479719758,0.569231481,-0.074301305,-1.646074576
0.022489251,1.386249928,-1.789866552,-1.651752614
0.007520749,0.760963667,-2.005102808,-1.587159037
0.014702423,0.478256604,-1.512272049,-1.457866306
0.160290242,0.487982114,-0.483496819,-1.749317156
0.479719758,0.569231481,-0.074301305,-1.513338162
0.625965247,0.606430152,0.013769436,-1.922775365
0.70052582,0.598815881,0.068130837,-2.131174087
1.331219345,0.482274686,0.440955153,-2.128131486
0.160290242,0.487982114,-0.483496819,-1.971078786
0.479719758,0.569231481,-0.074301305,-2.091087229
0.625965247,0.606430152,0.013769436,-2.234039742
0.70052582,0.598815881,0.068130837,-2.235391024
1.331219345,0.482274686,0.440955153,-2.256464632
2.708780655,0.227725314,1.07536253,-2.218873457
3.264913388,0.108991154,1.476480412,-2.188843137
0.029342111,1.662719604,-1.753327667,-2.530697263
0.03,1.7,-1.753327667,-2.480897997
0.02934233,1.672526839,-1.755878499,-2.340568111
0.022489251,1.386249928,-1.789866552,-2.089733065
0.007520749,0.760963667,-2.005102808,-1.865146506
0.014702423,0.478256604,-1.512272049,-1.628325609
0.160290242,0.487982114,-0.483496819,-1.551477597
0.479719758,0.569231481,-0.074301305,-1.660162145
0.029342111,1.662719604,-1.753327667,-2.486819093
0.03,1.7,-1.753327667,-2.353937875
0.02934233,1.672526839,-1.755878499,-2.153433114
0.022489251,1.386249928,-1.789866552,-1.929072939
0.007520749,0.760963667,-2.005102808,-1.723096904
0.014702423,0.478256604,-1.512272049,-1.590831942
0.160290242,0.487982114,-0.483496819,-1.534981209
0.479719758,0.569231481,-0.074301305,-1.697843307
0.022489251,1.386249928,-1.789866552,-1.720206079
0.007520749,0.760963667,-2.005102808,-1.602210964
0.014702423,0.478256604,-1.512272049,-1.469796991
0.160290242,0.487982114,-0.483496819,-1.740684713
0.479719758,0.569231481,-0.074301305,-1.526324119
0.625965247,0.606430152,0.013769436,-1.879873119
0.70052582,0.598815881,0.068130837,-2.089812798
1.331219345,0.482274686,0.440955153,-2.119204349
0.160290242,0.487982114,-0.483496819,-1.953301656
0.479719758,0.569231481,-0.074301305,-2.092711267
0.625965247,0.606430152,0.013769436,-2.218916426
0.70052582,0.598815881,0.068130837,-2.256176662
1.331219345,0.482274686,0.440955153,-2.271430973
2.708780655,0.227725314,1.07536253,-2.267832474
3.264913388,0.108991154,1.476480412,-2.251999815
0.029342111,1.662719604,-1.753327667,-2.676492604
0.03,1.7,-1.753327667,-2.600335374
0.02934233,1.672526839,-1.755878499,-2.47981117
0.022489251,1.386249928,-1.789866552,-2.256054419
0.007520749,0.760963667,-2.005102808,-2.050902156
0.014702423,0.478256604,-1.512272049,-1.717450515
0.160290242,0.487982114,-0.483496819,-1.570046051
0.479719758,0.569231481,-0.074301305,-1.639516388
0.029342111,1.662719604,-1.753327667,-2.642068482
0.03,1.7,-1.753327667,-2.505294306
0.02934233,1.672526839,-1.755878499,-2.272366215
0.022489251,1.386249928,-1.789866552,-2.099484168
0.007520749,0.760963667,-2.005102808,-1.873782221
0.014702423,0.478256604,-1.512272049,-1.68414602
0.160290242,0.487982114,-0.483496819,-1.570275666
0.479719758,0.569231481,-0.074301305,-1.636477009
0.029342111,1.662719604,-1.753327667,-1.923653983
0.03,1.7,-1.753327667,-1.726794543
0.02934233,1.672526839,-1.755878499,-1.588428764
0.022489251,1.386249928,-1.789866552,-1.684018406
0.007520749,0.760963667,-2.005102808,-1.623162025
0.014702423,0.478256604,-1.512272049,-1.812836799
0.160290242,0.487982114,-0.483496819,-2.159252173
0.479719758,0.569231481,-0.074301305,-2.204853155
0.160290242,0.487982114,-0.483496819,-1.888420523
0.479719758,0.569231481,-0.074301305,-2.072326311
0.625965247,0.606430152,0.013769436,-2.246353524
0.70052582,0.598815881,0.068130837,-2.323600239
1.331219345,0.482274686,0.440955153,-2.374497386
2.708780655,0.227725314,1.07536253,-2.343329329
3.264913388,0.108991154,1.476480412,-2.319631329
0.029342111,1.662719604,-1.753327667,-2.587082131
0.03,1.7,-1.753327667,-2.440169241
0.02934233,1.672526839,-1.755878499,-2.264378417
0.022489251,1.386249928,-1.789866552,-2.015275121
0.007520749,0.760963667,-2.005102808,-1.792200374
0.014702423,0.478256604,-1.512272049,-1.572700741
0.160290242,0.487982114,-0.483496819,-1.507324076
0.479719758,0.569231481,-0.074301305,-1.588868732
0.029342111,1.662719604,-1.753327667,-2.632676467
0.03,1.7,-1.753327667,-2.492499363
0.02934233,1.672526839,-1.755878499,-2.247721087
0.022489251,1.386249928,-1.789866552,-2.02650232
0.007520749,0.760963667,-2.005102808,-1.678233301
0.014702423,0.478256604,-1.512272049,-1.525211601
0.160290242,0.487982114,-0.483496819,-1.549909854
0.479719758,0.569231481,-0.074301305,-1.784546418
0.022489251,1.386249928,-1.789866552,-2.195047432
0.007520749,0.760963667,-2.005102808,-2.012327105
0.014702423,0.478256604,-1.512272049,-1.625931162
0.160290242,0.487982114,-0.483496819,-1.635173601
0.479719758,0.569231481,-0.074301305,-1.502375295
0.625965247,0.606430152,0.013769436,-1.817669956
0.70052582,0.598815881,0.068130837,-2.12175597
1.331219345,0.482274686,0.440955153,-2.158725291
0.022489251,1.386249928,-1.789866552,-1.655546265
0.007520749,0.760963667,-2.005102808,-1.501977309
0.014702423,0.478256604,-1.512272049,-1.701771371
0.160290242,0.487982114,-0.483496819,-2.037822432
0.479719758,0.569231481,-0.074301305,-2.227379191
0.625965247,0.606430152,0.013769436,-2.418562125
0.70052582,0.598815881,0.068130837,-2.402795687
0.029342111,1.662719604,-1.753327667,-2.833715991
0.03,1.7,-1.753327667,-2.721701213
0.02934233,1.672526839,-1.755878499,-2.550744914
0.022489251,1.386249928,-1.789866552,-2.306324108
0.007520749,0.760963667,-2.005102808,-2.089176482
0.014702423,0.478256604,-1.512272049,-1.825589421
